show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,duration_number,duration_unit
s3568,TV Show,Rising Story,Unknown,"Fatima Khan, Yuki Tanaka, Diego Sharma, Maria Novak, Maria Kumar, Aarav Novak, Omar Garcia, John Wilson",Japan,2014-04-05,2011,TV-PG,5 Seasons,"British TV Shows, TV Dramas",A gripping story about revenge.,2014,April,5,Seasons
s5072,Movie,Distant Summer,Sofia Tanaka,"Hiroshi Lopez, Ahmed Wang, Grace Tanaka, Sofia Sato, Anna Sato, John Wilson",United States,2015-07-20,2015,TV-14,55 min,Comedies,A hilarious story about love.,2015,July,55,min
s4686,Movie,Wild Heart Returns,Maria Sato,"Aarav Kumar, John Smith, John Lopez, Fatima Sato",United States,2010-09-07,2008,TV-PG,103 min,Horror Movies,A hilarious story about love.,2010,September,103,min
s5845,Movie,Wild Road Returns,Ahmed Petrov,"Grace Wilson, Elena Brown, Yuki Sato, Omar Sato",United States,2016-03-10,2016,TV-PG,76 min,Documentaries,A chilling story about revenge.,2016,March,76,min
s70,Movie,Endless Kingdom Returns,Hiroshi Sharma,"Liam Brown, Chen Novak, Chen Lopez, Grace Ali, Anna Rossi",Canada,2021-04-02,2021,TV-14,115 min,Thrillers,A sweeping story about family.,2021,April,115,min
s689,Movie,Crimson Kingdom II,Maria Rossi,"John Lopez, Omar Sato, Chen Hassan",Unknown,2008-03-14,2006,TV-PG,102 min,"Dramas, International Movies",A chilling story about ambition.,2008,March,102,min
s2230,TV Show,Silent Kingdom II,Unknown,Unknown,United States,2015-08-11,2014,TV-PG,1 Season,"International TV Shows, TV Dramas",A heartfelt story about revenge.,2015,August,1,Season
s22,TV Show,Last Promise,Yuki Kumar,"Ahmed Smith, Fatima Novak, Yuki Ali, Grace Lopez, Chen Ali, Omar Petrov, Anna Lopez",India,2008-11-08,2000,TV-G,1 Season,Docuseries,A hilarious story about survival.,2008,November,1,Season
s8453,Movie,Dark Journey,John Petrov,"Anna Sato, Liam Novak, Aarav Khan, Aarav Sharma, Chen Brown, Sofia Wang",India,2021-07-27,2021,G,104 min,Children & Family Movies,A heartfelt story about ambition.,2021,July,104,min
s18,Movie,Last Empire,Ahmed Lopez,"Diego Hassan, Anna Lopez, Elena Brown, Elena Novak, Liam Petrov, Diego Garcia, Raj Brown",Japan,2012-03-26,2011,G,85 min,"Comedies, International Movies",A sweeping story about family.,2012,March,85,min
s3143,TV Show,Frozen Heart,Unknown,"Sofia Wilson, Maria Wilson, Sofia Ali, Raj Rossi, John Tanaka, Raj Lopez, Aarav Lopez, Sofia Hassan",United Kingdom,2010-08-13,2009,TV-Y7,6 Seasons,"Crime TV Shows, TV Dramas",A gripping story about love.,2010,August,6,Seasons
s8113,Movie,Endless City Begins,Fatima Wilson,"Raj Smith, Omar Hassan, Yuki Petrov, Anna Sato, Sofia Wilson, Anna Petrov, Omar Wang",United States,2021-12-27,2021,PG-13,88 min,Comedies,A gripping story about love.,2021,December,88,min
s5464,Movie,Dark Garden,Maria Rossi,"Maria Tanaka, Anna Brown, Hiroshi Sato, Liam Wang, John Sato",United States,2017-08-07,2017,G,60 min,"Documentaries, International Movies",A chilling story about revenge.,2017,August,60,min
s6310,TV Show,Secret Promise,Unknown,Unknown,Turkey,2009-09-21,2008,TV-14,1 Season,"British TV Shows, TV Dramas",A sweeping story about love.,2009,September,1,Season
s2084,Movie,Golden River,Liam Brown,"Grace Tanaka, Anna Kumar, Elena Lopez, Hiroshi Sharma, Diego Petrov, Fatima Wang, Hiroshi Lopez, Omar Smith",South Korea,2021-09-22,2021,G,113 min,"Comedies, International Movies",A heartfelt story about ambition.,2021,September,113,min
s2421,TV Show,Frozen Dream Returns,Unknown,"Yuki Rossi, Chen Tanaka, Anna Ali, Hiroshi Rossi, Anna Hassan",Unknown,2019-11-28,2014,TV-Y,1 Season,TV Comedies,A gripping story about survival.,2019,November,1,Season
s3063,Movie,Burning Heart Forever,Sofia Smith,"John Petrov, Omar Tanaka, Liam Smith, Raj Petrov, Raj Ali",United States,2021-06-02,2019,G,96 min,"Dramas, International Movies",A sweeping story about love.,2021,June,96,min
s3179,TV Show,Lost Shadow,Unknown,"Elena Rossi, Hiroshi Lopez, Ahmed Petrov, Liam Ali, Maria Ali",United States,2016-01-12,2016,TV-G,1 Season,TV Comedies,A hilarious story about survival.,2016,January,1,Season
s8419,Movie,Lost Road,Chen Smith,"Chen Wilson, Fatima Kumar, Diego Smith, Diego Hassan, Sofia Petrov, Ahmed Wilson, Ahmed Rossi, Chen Tanaka",United Kingdom,2008-07-10,1995,TV-MA,128 min,"Dramas, International Movies",A chilling story about survival.,2008,July,128,min
s3424,Movie,Crimson Garden 2,Sofia Garcia,"Anna Smith, Ahmed Novak, Chen Wang, Raj Wang, Omar Garcia",United States,2020-04-01,2019,G,87 min,"Comedies, International Movies",A chilling story about ambition.,2020,April,87,min
s6627,Movie,Secret Empire Begins,Sofia Sato,"Elena Rossi, John Wilson, Liam Kumar, Chen Novak",India,2011-01-27,2010,G,86 min,Thrillers,A heartfelt story about love.,2011,January,86,min
s1546,Movie,Dark Garden,Aarav Sharma,"Elena Ali, Elena Wilson, Omar Hassan, Maria Brown",United States,2019-01-12,2016,R,138 min,"Comedies, International Movies",A hilarious story about revenge.,2019,January,138,min
s979,Movie,Silent Kingdom 2,Hiroshi Novak,"Ahmed Rossi, Hiroshi Wang, Ahmed Garcia, Chen Rossi, Yuki Garcia, Ahmed Petrov, Yuki Garcia, Yuki Smith",Nigeria,2021-08-09,2021,PG-13,91 min,Documentaries,A gripping story about love.,2021,August,91,min
s6786,Movie,Burning City,Omar Brown,"Diego Kumar, Aarav Wang, Liam Novak, Fatima Kumar",United States,2017-02-16,2016,PG-13,85 min,Action & Adventure,A heartfelt story about ambition.,2017,February,85,min
s3536,Movie,Secret Kingdom,Aarav Sharma,"Hiroshi Tanaka, Raj Smith, John Petrov, Ahmed Hassan, Chen Novak, Hiroshi Petrov, Omar Novak",Pakistan,2008-01-08,2002,PG-13,89 min,"Dramas, Independent Movies",A hilarious story about ambition.,2008,January,89,min
s7871,TV Show,Broken Journey Forever,Unknown,"Omar Hassan, Omar Brown, Liam Brown, John Ali, Maria Petrov",United States,2019-10-21,2016,TV-Y,1 Season,Docuseries,A chilling story about family.,2019,October,1,Season
s8151,TV Show,Secret Shadow,Unknown,"Sofia Khan, Diego Brown, Fatima Wilson",United States,2021-12-21,2021,TV-PG,2 Seasons,Docuseries,A chilling story about revenge.,2021,December,2,Seasons
s454,Movie,Secret Empire,Raj Petrov,"Elena Khan, Sofia Khan, Elena Sato, Yuki Sharma",India,2013-04-05,2012,NR,97 min,"Dramas, International Movies",A sweeping story about love.,2013,April,97,min
s7896,Movie,Crimson Horizon 2,Unknown,"Omar Wang, Yuki Sato, Anna Novak, Hiroshi Novak, Fatima Smith, Grace Novak, Maria Hassan, Elena Rossi",Australia,2020-07-08,2015,TV-PG,106 min,"Comedies, International Movies",A chilling story about love.,2020,July,106,min
s3533,TV Show,Hidden Summer,Unknown,Unknown,India,2021-02-20,2021,TV-Y,1 Season,Kids' TV,A hilarious story about survival.,2021,February,1,Season
s1911,Movie,Broken Horizon Returns,Yuki Rossi,"Hiroshi Smith, Hiroshi Hassan, Raj Kumar, Aarav Brown",Unknown,2016-06-11,2014,NR,162 min,Children & Family Movies,A sweeping story about love.,2016,June,162,min
s2924,TV Show,Wild Heart,Unknown,"Grace Rossi, Chen Novak, Omar Rossi, Chen Hassan",United States,2008-11-28,2008,TV-G,3 Seasons,Kids' TV,A sweeping story about family.,2008,November,3,Seasons
s8176,Movie,Wild Night 2,Ahmed Novak,"Maria Tanaka, Hiroshi Smith, Grace Novak, Yuki Sharma, Anna Tanaka, Fatima Novak, Liam Kumar, Maria Khan",India,2013-12-10,2013,PG,89 min,Thrillers,A hilarious story about survival.,2013,December,89,min
s2423,TV Show,Secret Promise 2,Liam Khan,Unknown,United Kingdom,2013-12-23,2013,TV-Y,4 Seasons,Anime Series,A gripping story about revenge.,2013,December,4,Seasons
s6672,Movie,Hidden Heart,Liam Wang,"Yuki Smith, Hiroshi Sharma, Aarav Hassan, Anna Sato",Canada,2016-12-06,2015,PG,83 min,Children & Family Movies,A chilling story about love.,2016,December,83,min
s5766,TV Show,Rising Kingdom,Unknown,"Sofia Hassan, Yuki Wang, Yuki Sharma, Diego Hassan, Liam Kumar, Aarav Rossi, Aarav Hassan, Hiroshi Sato",United States,2018-05-18,2016,TV-Y,1 Season,"Crime TV Shows, TV Dramas",A sweeping story about revenge.,2018,May,1,Season
s5822,Movie,Rising Empire Forever,Hiroshi Novak,"John Rossi, Raj Petrov, Liam Sharma, Grace Khan, Maria Kumar, Anna Kumar",Nigeria,2019-09-13,2016,TV-MA,127 min,"Comedies, International Movies",A gripping story about ambition.,2019,September,127,min
s6321,Movie,Last Journey,Omar Tanaka,"Yuki Hassan, Hiroshi Petrov, Aarav Ali, John Tanaka, Yuki Sato, Anna Kumar, Omar Brown, Omar Rossi",United States,2014-08-07,2013,TV-G,107 min,"Comedies, International Movies",A hilarious story about love.,2014,August,107,min
s2912,Movie,Dark Night,Chen Ali,"Yuki Wang, John Khan, Maria Khan, Elena Kumar",Mexico,2020-06-19,2020,TV-14,105 min,Documentaries,A chilling story about love.,2020,June,105,min
s1129,Movie,Frozen Story Forever,Anna Petrov,"Anna Garcia, Raj Hassan, Fatima Wang, Anna Brown",United States,2008-02-02,1996,PG-13,92 min,Children & Family Movies,A chilling story about family.,2008,February,92,min
s4181,TV Show,Lost Kingdom Returns,Raj Lopez,Unknown,Japan,2009-08-18,2008,TV-G,3 Seasons,Anime Series,A sweeping story about revenge.,2009,August,3,Seasons
s6416,Movie,Golden Journey Begins,Aarav Kumar,Unknown,Unknown,2021-12-22,2016,NR,67 min,Documentaries,A heartfelt story about ambition.,2021,December,67,min
s5972,Movie,Crimson Horizon,Grace Petrov,"Aarav Wang, Omar Wang, Anna Hassan, Raj Sharma, Grace Khan, Hiroshi Novak, Sofia Wang, Grace Novak",Unknown,2021-01-28,2020,PG,113 min,Documentaries,A sweeping story about revenge.,2021,January,113,min
s668,TV Show,Dark Shadow II,Unknown,"Diego Rossi, Omar Kumar, Omar Hassan, Chen Novak",United States,2016-12-28,2014,TV-14,1 Season,Docuseries,A chilling story about survival.,2016,December,1,Season
s5063,Movie,Last Empire,Diego Khan,"Fatima Hassan, Sofia Wang, Fatima Kumar, Ahmed Kumar, Grace Hassan, John Sato, Yuki Wang",Unknown,2014-06-12,2009,NR,69 min,"Dramas, Independent Movies",A heartfelt story about revenge.,2014,June,69,min
s5101,Movie,Last Shadow,Liam Wang,Unknown,Egypt,2019-06-21,2017,NR,96 min,Documentaries,A hilarious story about survival.,2019,June,96,min
s8424,TV Show,Hidden Heart II,Unknown,"Anna Ali, Diego Smith, Chen Novak, Ahmed Smith, Fatima Khan, Diego Garcia, John Sharma",United States,2021-03-21,2021,TV-PG,2 Seasons,Anime Series,A chilling story about love.,2021,March,2,Seasons
s4813,Movie,Distant River,Sofia Garcia,"Liam Petrov, Maria Ali, Ahmed Wilson, Aarav Sharma, Ahmed Rossi, Sofia Novak, Maria Ali, Sofia Lopez",France,2008-03-24,2003,NR,75 min,Comedies,A chilling story about revenge.,2008,March,75,min
s5217,Movie,Dark Horizon,Omar Novak,"Diego Petrov, Aarav Wang, Grace Sharma, Diego Smith, Yuki Kumar, Aarav Sharma, John Sharma, Grace Hassan",Australia,2011-01-23,2011,G,137 min,Comedies,A sweeping story about survival.,2011,January,137,min
s210,Movie,Last Horizon,Grace Kumar,"Grace Hassan, John Rossi, Chen Khan, Liam Tanaka, Anna Rossi",India,2019-06-24,2017,TV-MA,132 min,"Comedies, International Movies",A hilarious story about survival.,2019,June,132,min
s2092,Movie,Distant Promise,Ahmed Khan,Unknown,United States,2011-11-21,2010,PG-13,64 min,Thrillers,A hilarious story about love.,2011,November,64,min
s43,Movie,Distant Summer,Sofia Sato,"Ahmed Garcia, Maria Wang, Omar Kumar, John Petrov, Diego Ali, Anna Lopez, Fatima Petrov, Sofia Tanaka",United States,2021-02-05,2021,TV-MA,45 min,Comedies,A sweeping story about love.,2021,February,45,min
s2738,Movie,Dark City,Raj Wilson,"Grace Kumar, Grace Garcia, Maria Tanaka, John Wilson, Grace Kumar, John Rossi, Grace Brown, Maria Novak",United States,2012-08-13,2009,NR,76 min,Action & Adventure,A gripping story about love.,2012,August,76,min
s6756,Movie,Secret Journey,Grace Wilson,"Raj Ali, Diego Tanaka, Diego Sharma, Ahmed Rossi, Ahmed Lopez, Chen Kumar",United States,2008-01-19,2005,TV-PG,99 min,"Dramas, International Movies",A gripping story about ambition.,2008,January,99,min
s4207,Movie,Dark Summer,Anna Brown,"Raj Hassan, Ahmed Garcia, Diego Sharma, Maria Smith, Sofia Sharma",Turkey,2011-04-22,2011,NR,104 min,Action & Adventure,A sweeping story about survival.,2011,April,104,min
s8459,Movie,Broken Heart Begins,Sofia Lopez,Unknown,Australia,2021-05-08,2021,TV-MA,74 min,Thrillers,A gripping story about family.,2021,May,74,min
s5207,Movie,Endless Heart Returns,Chen Sato,"Aarav Smith, Hiroshi Sato, Ahmed Petrov",India,2016-09-01,2015,TV-14,80 min,Documentaries,A heartfelt story about survival.,2016,September,80,min
s340,Movie,Rising City,Elena Novak,"Raj Smith, Yuki Hassan, Anna Sharma, Liam Hassan, Ahmed Garcia",Spain,2021-07-13,2021,TV-14,106 min,Action & Adventure,A chilling story about revenge.,2021,July,106,min
s4988,Movie,Last Story II,John Wilson,"Hiroshi Khan, Grace Petrov, Raj Ali, Maria Khan, Grace Hassan, Liam Tanaka",Unknown,2021-10-21,2021,PG-13,89 min,"Comedies, International Movies",A hilarious story about revenge.,2021,October,89,min
s7333,Movie,Endless Shadow Begins,Chen Tanaka,"Omar Lopez, Grace Sato, Sofia Smith, Chen Petrov, Raj Wang, John Khan",United States,2021-12-06,2020,PG-13,92 min,Thrillers,A chilling story about ambition.,2021,December,92,min
s4458,TV Show,Frozen Story,Unknown,"Raj Lopez, Chen Garcia, Ahmed Sato, Raj Novak, Ahmed Sharma, Diego Smith",Unknown,2021-03-12,2020,TV-PG,1 Season,"International TV Shows, TV Dramas",A sweeping story about survival.,2021,March,1,Season
s8204,Movie,Broken Summer II,Anna Sharma,"Grace Smith, Anna Lopez, Omar Smith, Anna Petrov, Anna Kumar, Sofia Tanaka, Liam Garcia, Elena Khan",France,2021-03-26,2021,NR,86 min,Children & Family Movies,A chilling story about family.,2021,March,86,min
s729,Movie,Broken Kingdom Returns,Maria Wang,"Liam Petrov, Maria Garcia, Sofia Lopez, Fatima Brown, Fatima Novak, Grace Smith, Yuki Novak, Diego Garcia",Mexico,2021-07-08,2019,TV-PG,55 min,Documentaries,A hilarious story about love.,2021,July,55,min
s4442,TV Show,Golden River,Maria Lopez,"Sofia Lopez, Omar Tanaka, Chen Novak, Aarav Khan, Maria Wilson, Elena Ali, John Novak",India,2009-11-21,2009,TV-MA,1 Season,Kids' TV,A gripping story about ambition.,2009,November,1,Season
s3365,Movie,Crimson Empire,Maria Hassan,"Raj Ali, Maria Garcia, Omar Wang",India,2016-09-20,2013,PG-13,77 min,Comedies,A gripping story about revenge.,2016,September,77,min
s7218,Movie,Frozen Promise,Fatima Novak,"Anna Khan, Omar Khan, Omar Smith, Anna Khan, Fatima Hassan, Fatima Wilson, Hiroshi Khan",United States,2010-03-12,2010,R,65 min,Comedies,A hilarious story about ambition.,2010,March,65,min
s6146,Movie,Rising Empire Forever,Yuki Tanaka,"Hiroshi Brown, Elena Ali, Raj Hassan, Anna Tanaka",Japan,2009-09-23,2008,TV-PG,93 min,"Dramas, International Movies",A heartfelt story about ambition.,2009,September,93,min
s6463,Movie,Golden Road,Ahmed Petrov,"Grace Sato, Fatima Rossi, Hiroshi Tanaka",Japan,2020-07-25,2015,NR,135 min,"Documentaries, International Movies",A chilling story about family.,2020,July,135,min
s1892,TV Show,Burning Horizon Forever,Unknown,"Raj Sharma, Hiroshi Ali, Elena Brown, Grace Khan, Maria Smith, Anna Wang",China,2009-11-08,2008,TV-PG,5 Seasons,"British TV Shows, TV Dramas",A heartfelt story about survival.,2009,November,5,Seasons
s4738,Movie,Frozen Journey,Raj Novak,"Anna Lopez, Raj Garcia, Ahmed Sharma",United Kingdom,2013-03-25,2013,TV-G,123 min,Comedies,A gripping story about revenge.,2013,March,123,min
s1714,TV Show,Distant Story,Ahmed Wang,"John Tanaka, Grace Hassan, Anna Wang, Anna Lopez, Sofia Hassan, Aarav Wang",United States,2015-05-27,2010,TV-PG,6 Seasons,TV Comedies,A hilarious story about family.,2015,May,6,Seasons
s5996,TV Show,Last Road II,Unknown,"Sofia Sato, Hiroshi Tanaka, Hiroshi Novak",United States,2021-05-19,2021,TV-14,1 Season,Kids' TV,A sweeping story about family.,2021,May,1,Season
s2840,TV Show,Rising Journey,Unknown,"Maria Wang, Maria Novak, Anna Tanaka, Omar Kumar, Fatima Sato, Hiroshi Kumar",India,2010-06-15,2009,TV-Y,6 Seasons,Reality TV,A heartfelt story about ambition.,2010,June,6,Seasons
s792,TV Show,Rising Story Forever,Unknown,"Yuki Wilson, Omar Sharma, Liam Tanaka, Hiroshi Ali",South Korea,2015-12-07,2015,TV-PG,1 Season,"International TV Shows, TV Dramas",A hilarious story about love.,2015,December,1,Season
s7642,Movie,Crimson Horizon,Sofia Rossi,"John Petrov, Anna Garcia, Maria Wang",India,2017-12-03,2017,TV-PG,79 min,Comedies,A sweeping story about survival.,2017,December,79,min
s2265,Movie,Wild Promise,Unknown,"Chen Sharma, Hiroshi Tanaka, Yuki Ali, Aarav Khan",India,2009-10-07,2008,PG-13,94 min,"Dramas, International Movies",A sweeping story about ambition.,2009,October,94,min
s7184,Movie,Lost Story 2,Ahmed Ali,"John Wang, Elena Sato, Aarav Khan, Grace Wilson, Anna Ali, Aarav Smith",Egypt,2021-05-16,2019,G,111 min,"Dramas, International Movies",A sweeping story about survival.,2021,May,111,min
s4508,Movie,Distant City Returns,Omar Kumar,"Liam Rossi, Liam Smith, Grace Novak, Yuki Tanaka",Unknown,2013-05-16,2008,NR,94 min,Horror Movies,A hilarious story about family.,2013,May,94,min
s1124,TV Show,Wild Heart II,Unknown,"Fatima Rossi, Fatima Smith, Grace Rossi, Anna Rossi, Maria Wang, Sofia Rossi",India,2014-08-21,2009,TV-Y7,1 Season,Kids' TV,A chilling story about family.,2014,August,1,Season
s7153,TV Show,Dark Night Forever,Unknown,"Maria Garcia, Omar Smith, Diego Ali, Chen Wilson, Omar Lopez",Egypt,2017-10-02,2012,TV-14,2 Seasons,Reality TV,A hilarious story about revenge.,2017,October,2,Seasons
s5259,Movie,Burning Promise,Maria Rossi,"Maria Khan, Chen Rossi, Raj Brown",India,2021-09-18,2021,TV-MA,73 min,Children & Family Movies,A chilling story about family.,2021,September,73,min
s8563,Movie,Rising Promise,Ahmed Khan,"Chen Novak, Maria Wilson, Liam Petrov, Omar Hassan, Liam Sharma, Fatima Petrov, Liam Wilson",United Kingdom,2017-10-01,2015,G,94 min,Action & Adventure,A chilling story about ambition.,2017,October,94,min
s5045,Movie,Endless Summer Begins,Diego Sharma,"Aarav Wang, Ahmed Lopez, Grace Sato",India,2011-10-07,2010,PG-13,122 min,"Comedies, International Movies",A sweeping story about survival.,2011,October,122,min
s2927,TV Show,Crimson Summer Forever,Unknown,"Raj Wilson, Maria Rossi, Elena Lopez, Sofia Wilson, Grace Kumar, Diego Tanaka",South Korea,2020-07-06,2019,TV-G,2 Seasons,"International TV Shows, TV Dramas",A heartfelt story about survival.,2020,July,2,Seasons
s8051,TV Show,Golden Garden Begins,Unknown,"Ahmed Novak, Fatima Wilson, John Wang, Yuki Petrov, Yuki Ali, Sofia Novak",India,2021-03-14,2021,TV-Y,6 Seasons,Anime Series,A gripping story about ambition.,2021,March,6,Seasons
s3545,TV Show,Secret Horizon,Unknown,"Ahmed Kumar, Yuki Sato, John Wang, Diego Sharma, Grace Novak, John Rossi, Ahmed Garcia",China,2019-11-17,2014,TV-14,2 Seasons,"Crime TV Shows, TV Dramas",A sweeping story about survival.,2019,November,2,Seasons
s2006,TV Show,Distant Kingdom Returns,Unknown,"John Lopez, Grace Sharma, Hiroshi Hassan, Liam Sharma, Yuki Novak",United States,2017-02-27,2017,TV-14,6 Seasons,"Crime TV Shows, TV Dramas",A gripping story about love.,2017,February,6,Seasons
s6261,TV Show,Golden City,Hiroshi Wang,"Diego Smith, John Brown, Chen Khan, Diego Wilson, Liam Kumar, Grace Smith",France,2008-11-21,2005,TV-PG,1 Season,Kids' TV,A heartfelt story about revenge.,2008,November,1,Season
s4293,Movie,Burning Heart,Fatima Hassan,"Yuki Rossi, Grace Lopez, Hiroshi Smith, Chen Novak",Mexico,2010-06-24,2010,TV-MA,82 min,Horror Movies,A chilling story about revenge.,2010,June,82,min
s7831,Movie,Golden River,Aarav Sato,"Anna Khan, Grace Kumar, Liam Sharma, Aarav Ali",India,2012-08-09,2010,R,88 min,Action & Adventure,A sweeping story about revenge.,2012,August,88,min
